学校,地区,专业方向,导师,推荐建议
毕博诚传媒有限公司大学,重庆,建筑设备与自动化,吴教授,科研氛围浓厚，适合深入发展
浦华众城传媒有限公司大学,天津,建筑环境与能源应用工程,张教授,科研氛围浓厚，适合深入发展
银嘉传媒有限公司大学,重庆,绿色建筑设计,童教授,课题方向契合国家战略，发展前景好
华泰通安传媒有限公司大学,沈阳,智能控制,王教授,实验资源丰富，重视实践能力
昂歌信息信息有限公司大学,沈阳,可再生能源建筑应用,王教授,课题方向契合国家战略，发展前景好
通际名联网络有限公司大学,武汉,建筑节能,蔡教授,适合从事建筑节能与智能化研究
太极科技有限公司大学,哈尔滨,建筑节能,张教授,适合从事建筑节能与智能化研究
天益信息有限公司大学,成都,碳中和技术,高教授,导师指导细致，团队合作密切
思优传媒有限公司大学,西安,智能控制,戴教授,科研氛围浓厚，适合深入发展
时空盒数字信息有限公司大学,武汉,智能控制,汪教授,科研氛围浓厚，适合深入发展
南康科技有限公司大学,青岛,建筑设备与自动化,王教授,课题方向契合国家战略，发展前景好
开发区世创网络有限公司大学,北京,智能控制,苑教授,适合从事建筑节能与智能化研究
天开网络有限公司大学,哈尔滨,智能控制,王教授,课题方向契合国家战略，发展前景好
通际名联科技有限公司大学,西安,智能控制,钟教授,适合从事建筑节能与智能化研究
浦华众城信息有限公司大学,武汉,建筑设备与自动化,吕教授,科研氛围浓厚，适合深入发展
新宇龙信息科技有限公司大学,沈阳,碳中和技术,梁教授,导师指导细致，团队合作密切
趋势科技有限公司大学,北京,建筑环境与能源应用工程,武教授,科研氛围浓厚，适合深入发展
时刻科技有限公司大学,广州,建筑通风系统设计,杨教授,实验资源丰富，重视实践能力
联软科技有限公司大学,成都,智能控制,宋教授,课题方向契合国家战略，发展前景好
菊风公司传媒有限公司大学,哈尔滨,绿色建筑设计,毛教授,导师指导细致，团队合作密切
迪摩网络有限公司大学,哈尔滨,建筑节能,周教授,实验资源丰富，重视实践能力
恒聪百汇信息有限公司大学,沈阳,建筑环境与能源应用工程,曾教授,适合从事建筑节能与智能化研究
兰金电子科技有限公司大学,西安,智能控制,关教授,科研氛围浓厚，适合深入发展
毕博诚网络有限公司大学,成都,建筑环境与能源应用工程,孙教授,适合从事建筑节能与智能化研究
富罳传媒有限公司大学,成都,建筑节能,李教授,实验资源丰富，重视实践能力
立信电子信息有限公司大学,青岛,建筑通风系统设计,辛教授,科研氛围浓厚，适合深入发展
国讯传媒有限公司大学,西安,暖通系统仿真,王教授,适合从事建筑节能与智能化研究
华泰通安网络有限公司大学,北京,暖通系统仿真,王教授,适合从事建筑节能与智能化研究
鑫博腾飞传媒有限公司大学,南京,建筑节能,牛教授,课题方向契合国家战略，发展前景好
易动力传媒有限公司大学,成都,热舒适研究,张教授,导师指导细致，团队合作密切
晖来计算机网络有限公司大学,重庆,暖通系统仿真,储教授,导师指导细致，团队合作密切
凌云信息有限公司大学,北京,建筑环境与能源应用工程,王教授,适合从事建筑节能与智能化研究
盟新科技有限公司大学,北京,可再生能源建筑应用,秦教授,课题方向契合国家战略，发展前景好
华成育卓网络有限公司大学,哈尔滨,建筑节能,高教授,适合从事建筑节能与智能化研究
富罳科技有限公司大学,北京,建筑设备与自动化,孟教授,科研氛围浓厚，适合深入发展
昂歌信息传媒有限公司大学,西安,碳中和技术,刘教授,导师指导细致，团队合作密切
凌云传媒有限公司大学,西安,暖通系统仿真,李教授,科研氛围浓厚，适合深入发展
创汇信息有限公司大学,南京,建筑通风系统设计,赵教授,课题方向契合国家战略，发展前景好
新格林耐特信息有限公司大学,南京,暖通系统仿真,张教授,课题方向契合国家战略，发展前景好
时刻传媒有限公司大学,天津,热舒适研究,丁教授,科研氛围浓厚，适合深入发展
银嘉信息有限公司大学,哈尔滨,热舒适研究,陈教授,导师指导细致，团队合作密切
群英传媒有限公司大学,上海,绿色建筑设计,唐教授,科研氛围浓厚，适合深入发展
双敏电子科技有限公司大学,青岛,智能控制,隋教授,课题方向契合国家战略，发展前景好
佳禾科技有限公司大学,天津,智能控制,魏教授,课题方向契合国家战略，发展前景好
佳禾传媒有限公司大学,沈阳,绿色建筑设计,郑教授,实验资源丰富，重视实践能力
新宇龙信息信息有限公司大学,沈阳,碳中和技术,王教授,科研氛围浓厚，适合深入发展
天开信息有限公司大学,南京,建筑通风系统设计,黄教授,适合从事建筑节能与智能化研究
超艺网络有限公司大学,武汉,热舒适研究,陈教授,课题方向契合国家战略，发展前景好
浦华众城信息有限公司大学,西安,可再生能源建筑应用,施教授,科研氛围浓厚，适合深入发展
兰金电子信息有限公司大学,广州,智能控制,李教授,科研氛围浓厚，适合深入发展
同兴万点信息有限公司大学,广州,暖通系统仿真,周教授,课题方向契合国家战略，发展前景好
昊嘉信息有限公司大学,西安,建筑节能,李教授,实验资源丰富，重视实践能力
华成育卓信息有限公司大学,南京,绿色建筑设计,马教授,科研氛围浓厚，适合深入发展
银嘉传媒有限公司大学,武汉,建筑节能,黄教授,科研氛围浓厚，适合深入发展
方正科技网络有限公司大学,重庆,建筑通风系统设计,李教授,实验资源丰富，重视实践能力
盟新网络有限公司大学,哈尔滨,建筑环境与能源应用工程,徐教授,导师指导细致，团队合作密切
雨林木风计算机信息有限公司大学,上海,可再生能源建筑应用,李教授,实验资源丰富，重视实践能力
鑫博腾飞科技有限公司大学,北京,智能控制,王教授,导师指导细致，团队合作密切
凌云信息有限公司大学,北京,可再生能源建筑应用,张教授,科研氛围浓厚，适合深入发展
黄石金承科技有限公司大学,哈尔滨,绿色建筑设计,杨教授,适合从事建筑节能与智能化研究
快讯科技有限公司大学,西安,建筑环境与能源应用工程,李教授,导师指导细致，团队合作密切
四通传媒有限公司大学,沈阳,碳中和技术,应教授,导师指导细致，团队合作密切
精芯科技有限公司大学,武汉,热舒适研究,钟教授,课题方向契合国家战略，发展前景好
中建创业科技有限公司大学,重庆,可再生能源建筑应用,邓教授,课题方向契合国家战略，发展前景好
东方峻景信息有限公司大学,成都,建筑通风系统设计,徐教授,科研氛围浓厚，适合深入发展
创汇传媒有限公司大学,天津,建筑环境与能源应用工程,周教授,导师指导细致，团队合作密切
天益传媒有限公司大学,武汉,室内环境控制,丁教授,课题方向契合国家战略，发展前景好
昊嘉网络有限公司大学,南京,建筑环境与能源应用工程,周教授,适合从事建筑节能与智能化研究
快讯信息有限公司大学,青岛,建筑设备与自动化,林教授,实验资源丰富，重视实践能力
明腾传媒有限公司大学,南京,建筑设备与自动化,黄教授,实验资源丰富，重视实践能力
万迅电脑科技有限公司大学,哈尔滨,可再生能源建筑应用,吴教授,导师指导细致，团队合作密切
和泰信息有限公司大学,南京,碳中和技术,张教授,课题方向契合国家战略，发展前景好
超艺网络有限公司大学,武汉,室内环境控制,顾教授,科研氛围浓厚，适合深入发展
超艺信息有限公司大学,北京,建筑通风系统设计,邓教授,导师指导细致，团队合作密切
晖来计算机传媒有限公司大学,西安,建筑环境与能源应用工程,陈教授,实验资源丰富，重视实践能力
维涛科技有限公司大学,北京,碳中和技术,王教授,科研氛围浓厚，适合深入发展
佳禾信息有限公司大学,天津,智能控制,刘教授,课题方向契合国家战略，发展前景好
浙大万朋科技有限公司大学,上海,室内环境控制,萧教授,适合从事建筑节能与智能化研究
华远软件信息有限公司大学,南京,智能控制,田教授,课题方向契合国家战略，发展前景好
图龙信息信息有限公司大学,北京,建筑节能,贾教授,导师指导细致，团队合作密切
群英科技有限公司大学,天津,建筑环境与能源应用工程,周教授,导师指导细致，团队合作密切
浙大万朋科技有限公司大学,天津,建筑设备与自动化,唐教授,科研氛围浓厚，适合深入发展
海创网络有限公司大学,成都,碳中和技术,赵教授,科研氛围浓厚，适合深入发展
飞海科技科技有限公司大学,武汉,建筑通风系统设计,张教授,导师指导细致，团队合作密切
同兴万点网络有限公司大学,成都,建筑设备与自动化,黄教授,课题方向契合国家战略，发展前景好
四通网络有限公司大学,天津,建筑设备与自动化,吴教授,导师指导细致，团队合作密切
南康信息有限公司大学,武汉,绿色建筑设计,吕教授,适合从事建筑节能与智能化研究
浦华众城信息有限公司大学,南京,建筑环境与能源应用工程,夏教授,实验资源丰富，重视实践能力
华泰通安传媒有限公司大学,广州,绿色建筑设计,崔教授,课题方向契合国家战略，发展前景好
双敏电子传媒有限公司大学,天津,可再生能源建筑应用,包教授,科研氛围浓厚，适合深入发展
超艺网络有限公司大学,青岛,可再生能源建筑应用,郭教授,导师指导细致，团队合作密切
菊风公司信息有限公司大学,广州,室内环境控制,梁教授,实验资源丰富，重视实践能力
新格林耐特科技有限公司大学,广州,建筑节能,刘教授,科研氛围浓厚，适合深入发展
恒聪百汇网络有限公司大学,上海,热舒适研究,黄教授,实验资源丰富，重视实践能力
联通时科科技有限公司大学,武汉,室内环境控制,孙教授,课题方向契合国家战略，发展前景好
方正科技网络有限公司大学,广州,绿色建筑设计,潘教授,课题方向契合国家战略，发展前景好
趋势传媒有限公司大学,哈尔滨,室内环境控制,彭教授,科研氛围浓厚，适合深入发展
银嘉网络有限公司大学,成都,可再生能源建筑应用,王教授,实验资源丰富，重视实践能力
太极传媒有限公司大学,北京,建筑节能,李教授,实验资源丰富，重视实践能力
鑫博腾飞传媒有限公司大学,广州,建筑设备与自动化,帅教授,适合从事建筑节能与智能化研究
双敏电子网络有限公司大学,广州,建筑通风系统设计,卢教授,课题方向契合国家战略，发展前景好
昊嘉传媒有限公司大学,成都,碳中和技术,张教授,导师指导细致，团队合作密切
和泰科技有限公司大学,上海,建筑环境与能源应用工程,乔教授,科研氛围浓厚，适合深入发展
凌颖信息信息有限公司大学,南京,可再生能源建筑应用,齐教授,科研氛围浓厚，适合深入发展
立信电子传媒有限公司大学,成都,暖通系统仿真,陈教授,适合从事建筑节能与智能化研究
同兴万点网络有限公司大学,天津,建筑节能,陈教授,科研氛围浓厚，适合深入发展
新宇龙信息传媒有限公司大学,重庆,建筑节能,赵教授,课题方向契合国家战略，发展前景好
彩虹信息有限公司大学,广州,建筑环境与能源应用工程,王教授,导师指导细致，团队合作密切
华远软件信息有限公司大学,武汉,室内环境控制,许教授,科研氛围浓厚，适合深入发展
国讯科技有限公司大学,西安,室内环境控制,潘教授,科研氛围浓厚，适合深入发展
飞利信传媒有限公司大学,武汉,暖通系统仿真,林教授,导师指导细致，团队合作密切
立信电子传媒有限公司大学,北京,可再生能源建筑应用,刘教授,课题方向契合国家战略，发展前景好
数字100科技有限公司大学,成都,碳中和技术,范教授,课题方向契合国家战略，发展前景好
凌颖信息科技有限公司大学,青岛,碳中和技术,田教授,适合从事建筑节能与智能化研究
黄石金承网络有限公司大学,沈阳,建筑通风系统设计,李教授,适合从事建筑节能与智能化研究
九方科技有限公司大学,北京,暖通系统仿真,吴教授,导师指导细致，团队合作密切
联软科技有限公司大学,广州,建筑节能,隆教授,课题方向契合国家战略，发展前景好
时刻网络有限公司大学,广州,建筑通风系统设计,金教授,实验资源丰富，重视实践能力
凌颖信息网络有限公司大学,西安,碳中和技术,钟教授,课题方向契合国家战略，发展前景好
七喜传媒有限公司大学,重庆,建筑通风系统设计,李教授,适合从事建筑节能与智能化研究
雨林木风计算机网络有限公司大学,重庆,碳中和技术,汪教授,科研氛围浓厚，适合深入发展
昊嘉网络有限公司大学,北京,可再生能源建筑应用,高教授,导师指导细致，团队合作密切
华成育卓信息有限公司大学,哈尔滨,碳中和技术,李教授,导师指导细致，团队合作密切
富罳网络有限公司大学,北京,建筑设备与自动化,彭教授,实验资源丰富，重视实践能力
济南亿次元科技有限公司大学,天津,智能控制,万教授,实验资源丰富，重视实践能力
数字100科技有限公司大学,青岛,绿色建筑设计,张教授,导师指导细致，团队合作密切
迪摩网络有限公司大学,哈尔滨,室内环境控制,邱教授,课题方向契合国家战略，发展前景好
富罳传媒有限公司大学,重庆,智能控制,张教授,实验资源丰富，重视实践能力
立信电子科技有限公司大学,青岛,建筑通风系统设计,徐教授,科研氛围浓厚，适合深入发展
海创网络有限公司大学,西安,可再生能源建筑应用,孔教授,科研氛围浓厚，适合深入发展
浦华众城信息有限公司大学,北京,室内环境控制,蓝教授,科研氛围浓厚，适合深入发展
凌颖信息信息有限公司大学,北京,可再生能源建筑应用,王教授,实验资源丰富，重视实践能力
创汇科技有限公司大学,北京,暖通系统仿真,邓教授,导师指导细致，团队合作密切
开发区世创信息有限公司大学,广州,绿色建筑设计,唐教授,实验资源丰富，重视实践能力
华远软件信息有限公司大学,哈尔滨,绿色建筑设计,李教授,课题方向契合国家战略，发展前景好
时刻科技有限公司大学,西安,热舒适研究,李教授,导师指导细致，团队合作密切
济南亿次元网络有限公司大学,重庆,建筑环境与能源应用工程,蒙教授,课题方向契合国家战略，发展前景好
时空盒数字传媒有限公司大学,西安,可再生能源建筑应用,杨教授,实验资源丰富，重视实践能力
艾提科信传媒有限公司大学,哈尔滨,智能控制,赵教授,实验资源丰富，重视实践能力
七喜信息有限公司大学,沈阳,暖通系统仿真,王教授,课题方向契合国家战略，发展前景好
佳禾传媒有限公司大学,武汉,建筑设备与自动化,陈教授,实验资源丰富，重视实践能力
双敏电子科技有限公司大学,南京,建筑节能,张教授,实验资源丰富，重视实践能力
九方科技有限公司大学,广州,可再生能源建筑应用,王教授,导师指导细致，团队合作密切
太极网络有限公司大学,北京,建筑环境与能源应用工程,周教授,适合从事建筑节能与智能化研究
思优科技有限公司大学,上海,建筑通风系统设计,李教授,适合从事建筑节能与智能化研究
易动力传媒有限公司大学,成都,建筑环境与能源应用工程,王教授,科研氛围浓厚，适合深入发展
易动力信息有限公司大学,天津,建筑通风系统设计,廖教授,科研氛围浓厚，适合深入发展
四通科技有限公司大学,哈尔滨,建筑节能,蓝教授,实验资源丰富，重视实践能力
海创网络有限公司大学,广州,建筑环境与能源应用工程,郭教授,适合从事建筑节能与智能化研究
浙大万朋信息有限公司大学,上海,碳中和技术,郭教授,导师指导细致，团队合作密切
南康科技有限公司大学,哈尔滨,热舒适研究,吕教授,实验资源丰富，重视实践能力
超艺传媒有限公司大学,天津,热舒适研究,刘教授,课题方向契合国家战略，发展前景好
四通科技有限公司大学,青岛,建筑环境与能源应用工程,曹教授,科研氛围浓厚，适合深入发展
方正科技网络有限公司大学,天津,建筑通风系统设计,彭教授,适合从事建筑节能与智能化研究
趋势信息有限公司大学,重庆,建筑节能,叶教授,实验资源丰富，重视实践能力
万迅电脑科技有限公司大学,上海,暖通系统仿真,韩教授,课题方向契合国家战略，发展前景好
联软科技有限公司大学,青岛,绿色建筑设计,苏教授,导师指导细致，团队合作密切
创汇信息有限公司大学,天津,碳中和技术,赵教授,课题方向契合国家战略，发展前景好
昊嘉传媒有限公司大学,南京,智能控制,张教授,适合从事建筑节能与智能化研究
联软信息有限公司大学,沈阳,室内环境控制,张教授,课题方向契合国家战略，发展前景好
易动力传媒有限公司大学,哈尔滨,碳中和技术,韩教授,课题方向契合国家战略，发展前景好
易动力传媒有限公司大学,重庆,建筑通风系统设计,胡教授,导师指导细致，团队合作密切
华成育卓科技有限公司大学,武汉,室内环境控制,丁教授,实验资源丰富，重视实践能力
惠派国际公司传媒有限公司大学,广州,建筑环境与能源应用工程,汤教授,科研氛围浓厚，适合深入发展
诺依曼软件传媒有限公司大学,上海,建筑设备与自动化,徐教授,实验资源丰富，重视实践能力
新宇龙信息信息有限公司大学,南京,建筑设备与自动化,郝教授,课题方向契合国家战略，发展前景好
南康科技有限公司大学,重庆,建筑节能,张教授,导师指导细致，团队合作密切
济南亿次元网络有限公司大学,北京,建筑节能,丁教授,科研氛围浓厚，适合深入发展
通际名联网络有限公司大学,南京,可再生能源建筑应用,周教授,课题方向契合国家战略，发展前景好
明腾信息有限公司大学,西安,室内环境控制,许教授,科研氛围浓厚，适合深入发展
惠派国际公司信息有限公司大学,哈尔滨,热舒适研究,桂教授,科研氛围浓厚，适合深入发展
精芯网络有限公司大学,沈阳,暖通系统仿真,岳教授,课题方向契合国家战略，发展前景好
菊风公司科技有限公司大学,沈阳,建筑环境与能源应用工程,乔教授,适合从事建筑节能与智能化研究
兰金电子网络有限公司大学,广州,绿色建筑设计,李教授,适合从事建筑节能与智能化研究
时刻科技有限公司大学,重庆,建筑通风系统设计,郑教授,实验资源丰富，重视实践能力
中建创业网络有限公司大学,天津,绿色建筑设计,储教授,导师指导细致，团队合作密切
巨奥信息有限公司大学,西安,建筑节能,姜教授,课题方向契合国家战略，发展前景好
七喜科技有限公司大学,青岛,暖通系统仿真,孙教授,导师指导细致，团队合作密切
合联电子科技有限公司大学,天津,暖通系统仿真,王教授,实验资源丰富，重视实践能力
飞利信科技有限公司大学,青岛,可再生能源建筑应用,杨教授,导师指导细致，团队合作密切
趋势传媒有限公司大学,沈阳,智能控制,冯教授,适合从事建筑节能与智能化研究
和泰网络有限公司大学,北京,建筑节能,林教授,课题方向契合国家战略，发展前景好
快讯网络有限公司大学,哈尔滨,热舒适研究,李教授,科研氛围浓厚，适合深入发展
浙大万朋网络有限公司大学,青岛,热舒适研究,李教授,适合从事建筑节能与智能化研究
济南亿次元科技有限公司大学,青岛,建筑通风系统设计,张教授,实验资源丰富，重视实践能力
襄樊地球村网络有限公司大学,武汉,可再生能源建筑应用,孙教授,适合从事建筑节能与智能化研究
时刻传媒有限公司大学,武汉,暖通系统仿真,陈教授,科研氛围浓厚，适合深入发展
中建创业网络有限公司大学,武汉,建筑通风系统设计,赵教授,适合从事建筑节能与智能化研究
合联电子传媒有限公司大学,重庆,碳中和技术,傅教授,导师指导细致，团队合作密切
万迅电脑信息有限公司大学,沈阳,建筑节能,张教授,科研氛围浓厚，适合深入发展
兰金电子网络有限公司大学,青岛,室内环境控制,张教授,导师指导细致，团队合作密切
群英网络有限公司大学,广州,建筑节能,胡教授,适合从事建筑节能与智能化研究
泰麒麟网络有限公司大学,天津,智能控制,赵教授,导师指导细致，团队合作密切
同兴万点传媒有限公司大学,西安,建筑通风系统设计,杨教授,课题方向契合国家战略，发展前景好
维涛信息有限公司大学,重庆,碳中和技术,万教授,适合从事建筑节能与智能化研究
飞利信信息有限公司大学,南京,可再生能源建筑应用,刘教授,实验资源丰富，重视实践能力
群英信息有限公司大学,沈阳,智能控制,刘教授,实验资源丰富，重视实践能力
快讯传媒有限公司大学,上海,建筑环境与能源应用工程,谭教授,课题方向契合国家战略，发展前景好
艾提科信科技有限公司大学,成都,室内环境控制,苏教授,实验资源丰富，重视实践能力
商软冠联传媒有限公司大学,青岛,建筑环境与能源应用工程,刘教授,实验资源丰富，重视实践能力
迪摩传媒有限公司大学,天津,可再生能源建筑应用,刘教授,实验资源丰富，重视实践能力
图龙信息科技有限公司大学,北京,可再生能源建筑应用,顾教授,科研氛围浓厚，适合深入发展
凌颖信息传媒有限公司大学,重庆,绿色建筑设计,夏教授,导师指导细致，团队合作密切
诺依曼软件传媒有限公司大学,广州,建筑通风系统设计,严教授,科研氛围浓厚，适合深入发展
图龙信息网络有限公司大学,西安,绿色建筑设计,王教授,适合从事建筑节能与智能化研究
群英信息有限公司大学,青岛,智能控制,徐教授,课题方向契合国家战略，发展前景好
黄石金承信息有限公司大学,上海,热舒适研究,刘教授,导师指导细致，团队合作密切
群英科技有限公司大学,成都,建筑设备与自动化,李教授,导师指导细致，团队合作密切
艾提科信信息有限公司大学,天津,可再生能源建筑应用,龙教授,导师指导细致，团队合作密切
明腾网络有限公司大学,西安,建筑环境与能源应用工程,程教授,适合从事建筑节能与智能化研究
泰麒麟科技有限公司大学,成都,建筑设备与自动化,陈教授,实验资源丰富，重视实践能力
天益科技有限公司大学,重庆,室内环境控制,李教授,科研氛围浓厚，适合深入发展
商软冠联网络有限公司大学,北京,可再生能源建筑应用,高教授,导师指导细致，团队合作密切
易动力科技有限公司大学,北京,碳中和技术,张教授,实验资源丰富，重视实践能力
昊嘉网络有限公司大学,天津,建筑节能,张教授,课题方向契合国家战略，发展前景好
飞利信科技有限公司大学,南京,可再生能源建筑应用,刘教授,适合从事建筑节能与智能化研究
浙大万朋科技有限公司大学,上海,绿色建筑设计,芦教授,导师指导细致，团队合作密切
巨奥信息有限公司大学,天津,建筑环境与能源应用工程,潘教授,导师指导细致，团队合作密切
国讯信息有限公司大学,西安,可再生能源建筑应用,李教授,适合从事建筑节能与智能化研究
九方信息有限公司大学,北京,建筑环境与能源应用工程,孟教授,实验资源丰富，重视实践能力
快讯信息有限公司大学,天津,热舒适研究,严教授,科研氛围浓厚，适合深入发展
明腾信息有限公司大学,天津,建筑环境与能源应用工程,杨教授,适合从事建筑节能与智能化研究
鑫博腾飞网络有限公司大学,重庆,建筑设备与自动化,姚教授,课题方向契合国家战略，发展前景好
易动力传媒有限公司大学,广州,暖通系统仿真,袁教授,课题方向契合国家战略，发展前景好
思优网络有限公司大学,北京,建筑环境与能源应用工程,沈教授,适合从事建筑节能与智能化研究
凌云网络有限公司大学,沈阳,绿色建筑设计,余教授,适合从事建筑节能与智能化研究
四通传媒有限公司大学,青岛,建筑通风系统设计,安教授,实验资源丰富，重视实践能力
兰金电子网络有限公司大学,哈尔滨,建筑设备与自动化,孙教授,适合从事建筑节能与智能化研究
创亿传媒有限公司大学,北京,碳中和技术,高教授,导师指导细致，团队合作密切
浙大万朋网络有限公司大学,北京,绿色建筑设计,潘教授,实验资源丰富，重视实践能力
国讯信息有限公司大学,武汉,绿色建筑设计,沈教授,实验资源丰富，重视实践能力
惠派国际公司网络有限公司大学,成都,建筑通风系统设计,杨教授,科研氛围浓厚，适合深入发展
迪摩信息有限公司大学,重庆,建筑设备与自动化,李教授,课题方向契合国家战略，发展前景好
天益信息有限公司大学,天津,建筑设备与自动化,苏教授,适合从事建筑节能与智能化研究
立信电子科技有限公司大学,北京,建筑环境与能源应用工程,刘教授,科研氛围浓厚，适合深入发展
易动力信息有限公司大学,哈尔滨,热舒适研究,陈教授,适合从事建筑节能与智能化研究
超艺传媒有限公司大学,南京,建筑通风系统设计,李教授,实验资源丰富，重视实践能力
新格林耐特信息有限公司大学,上海,室内环境控制,邢教授,课题方向契合国家战略，发展前景好
昊嘉信息有限公司大学,广州,碳中和技术,何教授,适合从事建筑节能与智能化研究
鸿睿思博科技有限公司大学,上海,室内环境控制,张教授,科研氛围浓厚，适合深入发展
华成育卓网络有限公司大学,上海,热舒适研究,但教授,导师指导细致，团队合作密切
新宇龙信息信息有限公司大学,天津,热舒适研究,杨教授,实验资源丰富，重视实践能力
MBP软件传媒有限公司大学,沈阳,暖通系统仿真,郭教授,导师指导细致，团队合作密切
创联世纪网络有限公司大学,上海,碳中和技术,王教授,科研氛围浓厚，适合深入发展
时空盒数字科技有限公司大学,哈尔滨,建筑节能,丁教授,课题方向契合国家战略，发展前景好
国讯科技有限公司大学,重庆,碳中和技术,宋教授,课题方向契合国家战略，发展前景好
晖来计算机传媒有限公司大学,天津,建筑通风系统设计,范教授,导师指导细致，团队合作密切
时刻科技有限公司大学,沈阳,室内环境控制,曹教授,适合从事建筑节能与智能化研究
良诺网络有限公司大学,上海,智能控制,张教授,科研氛围浓厚，适合深入发展
佳禾传媒有限公司大学,青岛,绿色建筑设计,冯教授,适合从事建筑节能与智能化研究
鑫博腾飞传媒有限公司大学,哈尔滨,热舒适研究,沈教授,适合从事建筑节能与智能化研究
联通时科科技有限公司大学,天津,暖通系统仿真,刘教授,适合从事建筑节能与智能化研究
彩虹传媒有限公司大学,西安,建筑设备与自动化,田教授,适合从事建筑节能与智能化研究
图龙信息传媒有限公司大学,北京,碳中和技术,张教授,实验资源丰富，重视实践能力
创亿传媒有限公司大学,天津,建筑通风系统设计,谭教授,适合从事建筑节能与智能化研究
佳禾网络有限公司大学,天津,建筑设备与自动化,王教授,课题方向契合国家战略，发展前景好
浦华众城传媒有限公司大学,重庆,建筑通风系统设计,刘教授,导师指导细致，团队合作密切
凌颖信息网络有限公司大学,沈阳,室内环境控制,林教授,课题方向契合国家战略，发展前景好
超艺传媒有限公司大学,成都,暖通系统仿真,王教授,导师指导细致，团队合作密切
和泰信息有限公司大学,哈尔滨,碳中和技术,夏教授,实验资源丰富，重视实践能力
晖来计算机网络有限公司大学,沈阳,可再生能源建筑应用,傅教授,科研氛围浓厚，适合深入发展
双敏电子信息有限公司大学,武汉,建筑环境与能源应用工程,吴教授,课题方向契合国家战略，发展前景好
时空盒数字科技有限公司大学,南京,绿色建筑设计,许教授,课题方向契合国家战略，发展前景好
中建创业传媒有限公司大学,成都,热舒适研究,容教授,实验资源丰富，重视实践能力
网新恒天信息有限公司大学,重庆,建筑设备与自动化,杨教授,实验资源丰富，重视实践能力
信诚致远科技有限公司大学,北京,建筑通风系统设计,李教授,导师指导细致，团队合作密切
联软信息有限公司大学,重庆,可再生能源建筑应用,萧教授,实验资源丰富，重视实践能力
良诺网络有限公司大学,上海,室内环境控制,曾教授,科研氛围浓厚，适合深入发展
明腾科技有限公司大学,天津,碳中和技术,隆教授,适合从事建筑节能与智能化研究
易动力信息有限公司大学,成都,热舒适研究,陈教授,科研氛围浓厚，适合深入发展
南康科技有限公司大学,沈阳,智能控制,侯教授,导师指导细致，团队合作密切
思优网络有限公司大学,成都,绿色建筑设计,李教授,导师指导细致，团队合作密切
精芯传媒有限公司大学,重庆,碳中和技术,张教授,导师指导细致，团队合作密切
恒聪百汇科技有限公司大学,广州,建筑设备与自动化,陈教授,导师指导细致，团队合作密切
太极科技有限公司大学,广州,建筑设备与自动化,张教授,课题方向契合国家战略，发展前景好
时空盒数字信息有限公司大学,沈阳,智能控制,梁教授,导师指导细致，团队合作密切
鑫博腾飞传媒有限公司大学,重庆,建筑通风系统设计,洪教授,导师指导细致，团队合作密切
海创科技有限公司大学,北京,建筑设备与自动化,蒋教授,实验资源丰富，重视实践能力
艾提科信传媒有限公司大学,上海,智能控制,赵教授,实验资源丰富，重视实践能力
天开信息有限公司大学,上海,绿色建筑设计,邓教授,适合从事建筑节能与智能化研究
佳禾网络有限公司大学,青岛,暖通系统仿真,李教授,适合从事建筑节能与智能化研究
菊风公司信息有限公司大学,成都,建筑节能,梁教授,科研氛围浓厚，适合深入发展
毕博诚传媒有限公司大学,重庆,建筑设备与自动化,覃教授,适合从事建筑节能与智能化研究
菊风公司科技有限公司大学,上海,可再生能源建筑应用,周教授,课题方向契合国家战略，发展前景好
联通时科网络有限公司大学,青岛,室内环境控制,陈教授,科研氛围浓厚，适合深入发展
迪摩网络有限公司大学,重庆,热舒适研究,王教授,课题方向契合国家战略，发展前景好
良诺网络有限公司大学,北京,绿色建筑设计,王教授,适合从事建筑节能与智能化研究
九方科技有限公司大学,武汉,建筑设备与自动化,陈教授,导师指导细致，团队合作密切
和泰信息有限公司大学,沈阳,智能控制,王教授,适合从事建筑节能与智能化研究
太极网络有限公司大学,北京,暖通系统仿真,刘教授,导师指导细致，团队合作密切
商软冠联科技有限公司大学,上海,建筑通风系统设计,张教授,导师指导细致，团队合作密切
华成育卓传媒有限公司大学,广州,建筑通风系统设计,申教授,实验资源丰富，重视实践能力
新格林耐特传媒有限公司大学,哈尔滨,暖通系统仿真,朱教授,课题方向契合国家战略，发展前景好
万迅电脑信息有限公司大学,青岛,建筑节能,邵教授,课题方向契合国家战略，发展前景好
襄樊地球村科技有限公司大学,西安,建筑通风系统设计,陈教授,导师指导细致，团队合作密切
天开信息有限公司大学,北京,建筑环境与能源应用工程,严教授,实验资源丰富，重视实践能力
商软冠联传媒有限公司大学,青岛,建筑节能,刘教授,科研氛围浓厚，适合深入发展
易动力信息有限公司大学,南京,绿色建筑设计,胡教授,适合从事建筑节能与智能化研究
昊嘉信息有限公司大学,天津,建筑节能,王教授,课题方向契合国家战略，发展前景好
精芯传媒有限公司大学,成都,碳中和技术,刘教授,科研氛围浓厚，适合深入发展
商软冠联科技有限公司大学,武汉,智能控制,谭教授,科研氛围浓厚，适合深入发展
昊嘉科技有限公司大学,南京,建筑设备与自动化,傅教授,实验资源丰富，重视实践能力
